feature_id,name,ranks,folds_in_top100,sol_selected,gemma_selected,sol_concept,sol_decision,gemma_concept,gemma_decision
outer_001_feature_125,estimated_glomerular_filtration_rate,"[41, 14, 93, 87, 84]",5,False,False,Renal filtration and nitrogen burden,retain,Renal Function Status,retain
outer_001_feature_127,extra_axial_fluid_collection,"[69, None, 61, 14, None]",3,False,False,Intracranial hemorrhage and extra-axial collections,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_129,extremity_exam_findings,"[None, None, 78, None, None]",1,False,False,Other physical and local findings,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_130,family_history_of_breast_cancer,"[None, None, 87, 80, None]",2,False,False,Family history,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_131,family_history_of_colon_cancer,"[None, 24, None, None, None]",1,False,False,Family history,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_132,family_history_of_lung_cancer,"[39, None, 83, None, None]",2,False,False,Family history,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_133,family_history_of_myocardial_infarction,"[None, 97, None, None, None]",1,False,False,Family history,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_134,fatigue,"[None, 81, None, 49, 47]",3,False,False,Reported fatigue severity,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_135,febrile_neutropenia_presence,"[None, 57, None, 40, None]",2,False,False,Other CBC abnormalities and marrow toxicity,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_137,focal_intra_axial_lesion,"[None, None, 52, 46, 82]",3,False,False,Intracranial lesion burden and associated edema,uncertain,Neuroimaging Characteristics,exclude
outer_001_feature_141,gene_amplification_status,"[74, None, 100, None, None]",2,False,False,Broad molecular alteration status,exclude,Genomic and Molecular Profile,exclude
outer_001_feature_142,genetic_mutation_status,"[28, None, None, None, None]",1,False,False,Broad molecular alteration status,exclude,Genomic and Molecular Profile,exclude
outer_001_feature_143,genomic_dna_input_amount,"[None, None, 57, None, None]",1,False,False,Diagnostic and assay procedure details,exclude,Genomic and Molecular Profile,exclude
outer_001_feature_145,globe_appearance,"[None, None, 27, None, None]",1,False,False,Other neuroimaging findings,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_146,glucose_level,"[21, None, None, 3, None]",2,False,True,Glucose and serum electrolytes,uncertain,Baseline Glucose Level,retain
outer_001_feature_147,growth_factor_support_use,"[12, 99, None, None, 95]",3,False,False,Prior platinum chemotherapy exposure,retain,Growth Factor Support,uncertain
outer_001_feature_148,head_shape_and_trauma_status,"[92, None, None, None, None]",1,False,False,Other physical and local findings,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_150,heart_rate,"[3, None, 85, None, None]",2,False,False,Pretreatment heart rate,exclude,General Vitals and Metabolites,exclude
outer_001_feature_152,height,"[None, None, None, None, 73]",1,False,False,Nutrition and body mass,exclude,General Vitals and Metabolites,exclude
outer_001_feature_153,hematocrit,"[None, 36, 48, None, 2]",3,False,True,Other CBC abnormalities and marrow toxicity,uncertain,Anemia Burden,retain
outer_001_feature_155,hemoglobin_level,"[None, None, None, 36, 48]",2,False,False,Other CBC abnormalities and marrow toxicity,uncertain,Anemia Burden,retain
outer_001_feature_158,hilar_lymphadenopathy_presence,"[None, None, None, 67, None]",1,False,False,Primary lung tumor location and masses,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_159,hyperlipidemia_status,"[11, None, 86, None, None]",2,False,False,"Cardiovascular disease, medicines, and blood pressure",exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_161,hypothyroidism_presence,"[None, None, None, 78, None]",1,False,False,Hypothyroidism,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_164,imaging_finding_cerebellar_fdg_uptake,"[None, None, None, 61, None]",1,False,False,Other neuroimaging findings,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_165,imaging_finding_right_lower_lobe_mass,"[13, None, 50, 18, 63]",4,False,False,Primary lung tumor location and masses,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_166,imaging_finding_upper_lobe_mass,"[97, 48, 36, None, 86]",4,False,False,Primary lung tumor location and masses,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_168,imaging_pet_suv_max,"[84, None, None, 42, 19]",3,False,False,PET tumor uptake,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_170,inhaler_usage_dosage,"[None, None, 34, None, None]",1,False,False,Obstructive lung disease and emphysema,retain,Patient Baseline and Comorbidities,exclude
outer_001_feature_173,intracranial_hemorrhage,"[96, 53, None, 63, 80]",4,False,False,Intracranial hemorrhage and extra-axial collections,uncertain,Intracranial Hemorrhage Burden,retain
outer_001_feature_174,jugular_venous_distention_presence,"[None, 59, None, None, None]",1,False,False,"Cardiovascular disease, medicines, and blood pressure",exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_176,ki67_proliferation_index,"[42, 4, 30, 89, 7]",5,True,True,Ki-67 proliferation index,retain,Cellular Proliferation Index,retain
outer_001_feature_177,knee_osteoarthritis_presence,"[88, None, None, None, None]",1,False,False,Bone pain and skeletal complications,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_179,kras_g12c_variant_allele_frequency,"[22, 40, 9, None, 55]",4,True,True,KRAS G12C variant allele frequency,retain,KRAS G12C Variant Burden,retain
outer_001_feature_180,ldh_level,"[None, 85, None, None, 97]",2,False,False,Serum tumor-associated markers,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_183,lesion_size,"[None, 5, 28, 43, 27]",4,False,False,Primary tumor and nonspecific lesion size,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_184,line_of_therapy,"[None, 55, None, 41, None]",2,False,False,Treatment line and oncology management phase,exclude,Treatment History Miscellaneous,exclude
outer_001_feature_185,lipid_lowering_therapy_use,"[40, None, None, None, None]",1,False,False,"Cardiovascular disease, medicines, and blood pressure",exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_188,liver_metastasis_presence,"[46, 92, 32, 5, 69]",5,True,True,Liver metastatic involvement,retain,Distant Visceral Metastasis,retain
outer_001_feature_190,lobectomy_type,"[31, 77, None, 19, None]",3,False,False,Prior surgery and resection details,uncertain,Treatment History Miscellaneous,exclude
outer_001_feature_192,lung_cancer_histology,"[53, 47, None, 82, 91]",4,False,False,Tumor histology and lineage staining,retain,Histologic and Pathology Features,exclude
outer_001_feature_193,lung_cancer_stage,"[None, 95, None, None, 88]",2,False,False,Overall stage and distribution of metastases,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_194,lung_disease_diagnosis,"[27, 26, 37, None, None]",3,False,True,Obstructive lung disease and emphysema,retain,Chronic Lung Disease,retain
outer_001_feature_196,lung_mass_suvmax,"[62, None, None, 97, None]",2,False,False,PET tumor uptake,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_197,lymph_node_dissection_status,"[63, 45, 94, None, 33]",4,False,True,Prior surgery and resection details,uncertain,Lymph Node Dissection Status,retain
outer_001_feature_200,m_stage,"[None, 62, None, None, None]",1,False,False,Overall stage and distribution of metastases,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_201,mediastinal_lymph_node_dissection_performed,"[None, 44, None, None, 25]",2,False,False,Prior surgery and resection details,uncertain,Lymph Node Dissection Status,retain
outer_001_feature_203,medication_calcium_carbonate,"[None, 82, None, 25, None]",2,False,False,Other medications and treatment doses,exclude,Treatment History Miscellaneous,exclude
outer_001_feature_204,medication_cisplatin,"[65, 16, 96, 17, 23]",5,False,False,Prior platinum chemotherapy exposure,retain,Prior Platinum Exposure,retain
outer_001_feature_205,medication_denosumab,"[95, 43, None, 92, None]",3,False,False,Bone-modifying treatment,uncertain,Treatment History Miscellaneous,exclude
outer_001_feature_212,medication_pemetrexed,"[None, 76, 92, 74, 21]",4,False,False,Prior platinum chemotherapy exposure,retain,Treatment History Miscellaneous,exclude
outer_001_feature_213,meningeal_thickening,"[None, None, None, None, 54]",1,False,False,Other neuroimaging findings,exclude,Neuroimaging Characteristics,exclude
outer_001_feature_214,met_amplification_status,"[26, 56, 10, 55, 42]",5,True,True,MET amplification,retain,MET Gene Amplification,retain
outer_001_feature_215,metabolic_response,"[None, None, 79, 64, None]",2,False,False,Disease response and recurrence records,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_216,metastasis_location,"[89, None, 35, 13, None]",3,False,False,Overall stage and distribution of metastases,exclude,Distant Visceral Metastasis,retain
outer_001_feature_217,morphine_administered,"[None, None, 33, 60, None]",2,False,False,Other medications and treatment doses,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_219,msi_status,"[None, None, None, None, 83]",1,False,False,MSI and tumor mutational burden,exclude,Genomic and Molecular Profile,exclude
outer_001_feature_221,myelosuppression,"[61, None, None, 72, None]",2,False,False,Other CBC abnormalities and marrow toxicity,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_224,napsin_a_expression,"[82, 13, None, 52, 11]",4,False,False,Tumor histology and lineage staining,retain,Histologic and Pathology Features,exclude
outer_001_feature_225,nausea_severity,"[None, 71, None, 96, None]",2,False,False,Reported nausea,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_226,necrotic_fluid_presence,"[None, 80, None, 22, 37]",3,False,False,Other physical and local findings,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_228,neutrophil_to_lymphocyte_ratio,"[2, 1, 2, 1, 1]",5,True,True,Circulating leukocyte balance,retain,Systemic Inflammation (NLR),retain
outer_001_feature_229,night_sweats,"[60, None, None, None, None]",1,False,False,Documented pneumonia and systemic symptoms,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_231,nyha_class,"[None, 87, 90, None, 79]",3,False,False,"Respiratory rate, oxygenation, and NYHA class",exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_233,oncology_management_status,"[78, None, None, None, None]",1,False,False,Treatment line and oncology management phase,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_235,optic_chiasm_enhancement,"[None, None, 31, None, 62]",2,False,False,Other neuroimaging findings,exclude,Neuroimaging Characteristics,exclude
outer_001_feature_238,organomegaly_presence,"[None, None, None, None, 58]",1,False,False,Other physical and local findings,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_241,oxygen_saturation,"[100, None, None, None, None]",1,False,False,"Respiratory rate, oxygenation, and NYHA class",exclude,General Vitals and Metabolites,exclude
outer_001_feature_243,p40_expression,"[None, 46, None, None, 41]",2,False,False,Tumor histology and lineage staining,retain,Histologic and Pathology Features,exclude
outer_001_feature_246,palliative_care_status,"[85, None, None, None, None]",1,False,False,Palliative care and documented wishes,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_247,patient_wishes,"[None, None, 70, None, None]",1,False,False,Palliative care and documented wishes,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_249,pembrolizumab_dose,"[None, None, None, 11, None]",1,False,False,Other medications and treatment doses,exclude,Treatment History Miscellaneous,exclude
outer_001_feature_250,peripheral_neuropathy_grade,"[None, 60, 13, 47, None]",3,False,False,Peripheral neuropathy grade,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_251,peritumoral_edema,"[70, None, None, 86, None]",2,False,False,Intracranial lesion burden and associated edema,uncertain,Neuroimaging Characteristics,exclude
outer_001_feature_252,periventricular_signal_abnormality,"[10, None, None, 100, None]",2,False,False,Other neuroimaging findings,exclude,Neuroimaging Characteristics,exclude
outer_001_feature_254,pi3k_pathway_activation,"[None, None, 75, 99, 13]",3,False,False,PI3K pathway activation,exclude,Genomic and Molecular Profile,exclude
outer_001_feature_258,platelet_count,"[None, 41, None, None, None]",1,False,False,Other CBC abnormalities and marrow toxicity,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_259,pleural_effusion,"[80, None, None, None, None]",1,False,False,Other physical and local findings,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_260,pneumonia_diagnosis,"[18, None, None, None, None]",1,False,True,Documented pneumonia and systemic symptoms,exclude,Pneumonia Burden,retain
outer_001_feature_261,posterior_fossa_enhancement,"[None, None, 29, None, None]",1,False,False,Other neuroimaging findings,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_263,previous_radiation_therapy,"[93, None, None, 69, None]",2,False,False,Prior radiation therapy,exclude,Radiation Therapy Burden,retain
outer_001_feature_264,primary_tumor_location,"[None, 89, None, 20, None]",2,False,False,Primary lung tumor location and masses,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_266,primary_tumor_size,"[None, 65, None, None, None]",1,False,False,Primary tumor and nonspecific lesion size,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_267,prior_platinum_chemotherapy,"[24, 3, None, 15, 46]",4,True,True,Prior platinum chemotherapy exposure,retain,Prior Platinum Exposure,retain
outer_001_feature_270,progressive_exertional_symptoms,"[None, None, None, None, 43]",1,False,False,Reported dyspnea severity,retain,Patient Baseline and Comorbidities,exclude
outer_001_feature_272,psychiatric_symptom_presence,"[None, None, 14, None, 45]",2,False,False,Documented anxiety and psychiatric symptoms,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_275,pulmonary_lesion_presence,"[98, 84, 68, None, 44]",4,False,False,Primary lung tumor location and masses,uncertain,Pulmonary Nodularity,retain
outer_001_feature_276,pulmonary_nodules_presence,"[6, 73, None, None, 20]",3,False,True,Primary lung tumor location and masses,uncertain,Pulmonary Nodularity,retain
outer_001_feature_278,qlq_c30_physical_function,"[None, None, None, 91, 10]",2,False,False,Patient-reported quality of life and functioning,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_279,qlq_c30_role_function,"[None, None, 76, 83, 9]",3,False,False,Patient-reported quality of life and functioning,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_280,radiation_therapy_history,"[64, 28, None, None, None]",2,False,False,Prior radiation therapy,exclude,Radiation Therapy Burden,retain
outer_001_feature_281,radiation_therapy_session_count,"[None, 23, 72, 24, None]",3,False,True,Prior radiation therapy,exclude,Radiation Therapy Burden,retain
outer_001_feature_284,rash_presence,"[None, None, None, 68, None]",1,False,False,Skin redness and rash,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_286,renal_function_status,"[16, 78, None, None, 29]",3,False,False,Renal filtration and nitrogen burden,retain,Renal Function Status,retain
outer_001_feature_287,respiratory_rate,"[None, None, None, None, 87]",1,False,False,"Respiratory rate, oxygenation, and NYHA class",exclude,General Vitals and Metabolites,exclude
outer_001_feature_289,ret_rearrangement_status,"[None, None, 18, None, None]",1,False,False,"EGFR, ALK, and RET alteration status",exclude,Genomic and Molecular Profile,exclude
outer_001_feature_290,retroperitoneal_lymphadenopathy_presence,"[None, None, 55, None, None]",1,False,False,Overall stage and distribution of metastases,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_294,scapular_metastasis,"[55, None, None, None, None]",1,False,False,Osseous metastatic involvement,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_295,serum_albumin,"[None, 37, None, None, None]",1,False,False,Nutrition and body mass,exclude,General Vitals and Metabolites,exclude
outer_001_feature_296,serum_bicarbonate,"[None, None, None, 75, None]",1,False,False,Glucose and serum electrolytes,uncertain,General Vitals and Metabolites,exclude
outer_001_feature_297,serum_calcium,"[None, None, 49, None, None]",1,False,False,Glucose and serum electrolytes,uncertain,General Vitals and Metabolites,exclude
outer_001_feature_298,serum_chloride,"[34, None, None, None, None]",1,False,False,Glucose and serum electrolytes,uncertain,General Vitals and Metabolites,exclude
outer_001_feature_299,serum_creatinine,"[91, 25, None, None, 40]",3,False,False,Renal filtration and nitrogen burden,retain,Renal Function Status,retain
outer_001_feature_300,serum_potassium,"[8, None, None, None, None]",1,False,False,Glucose and serum electrolytes,uncertain,General Vitals and Metabolites,exclude
