feature_id,name,roles,stability,rationale,evidence_ids
outer_001_feature_149,headache_presence,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_150,heart_rate,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_151,heent_exam_status,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_152,height,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_153,hematocrit,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_154,hematuria,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_155,hemoglobin_level,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_156,hemoptysis_presence,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_157,hernia_repair_history,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_158,hilar_lymphadenopathy_presence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_159,hyperlipidemia_status,confounder,consistent,Common comorbidity with strong support in treatment and outcome models.,multi:outer_001_feature_159:predictive_forest:outcome;multi:outer_001_feature_159:predictive_forest:treatment;multi:outer_001_feature_159:univariable:outcome;multi:outer_001_feature_159:univariable:treatment
outer_001_feature_160,hypertension_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_161,hypothyroidism_presence,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_162,illicit_drug_use,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_163,imaging_ct_scan_performed,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_164,imaging_finding_cerebellar_fdg_uptake,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_165,imaging_finding_right_lower_lobe_mass,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_166,imaging_finding_upper_lobe_mass,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_167,imaging_mri_performed,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_168,imaging_pet_suv_max,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_169,immunotherapy_type,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_170,inhaler_usage_dosage,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_171,intra_orbital_enhancement,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_172,intra_orbital_mass,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_173,intracranial_hemorrhage,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_174,jugular_venous_distention_presence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_175,keap1_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_176,ki67_proliferation_index,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_177,knee_osteoarthritis_presence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_178,known_drug_allergies,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_179,kras_g12c_variant_allele_frequency,,consistent,Modifier rank 14 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_180,ldh_level,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_181,leptomeningeal_enhancement_presence,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_182,lesion_presence,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_183,lesion_size,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_184,line_of_therapy,,consistent,Modifier rank 16 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_185,lipid_lowering_therapy_use,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_186,lisinopril_dose,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_187,liver_function,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_188,liver_metastasis_presence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_189,living_situation,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_190,lobectomy_type,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_191,lung_auscultation_findings,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_192,lung_cancer_histology,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_193,lung_cancer_stage,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_194,lung_disease_diagnosis,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_195,lung_mass_morphology,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_196,lung_mass_suvmax,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_197,lymph_node_dissection_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_198,lymph_node_metastasis_count,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_199,lymphadenopathy_status,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_200,m_stage,,mixed,Modifier rank 23 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_201,mediastinal_lymph_node_dissection_performed,,consistent,Modifier rank 12 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_202,mediastinal_lymph_node_status,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_203,medication_calcium_carbonate,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_204,medication_cisplatin,,consistent,Modifier rank 9 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_205,medication_denosumab,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_206,medication_dexamethasone,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_207,medication_g12c_inhibitor,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_208,medication_gemcitabine,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_209,medication_lisinopril,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_210,medication_met_inhibitor,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_211,medication_oxycodone,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_212,medication_pemetrexed,,consistent,Modifier rank 10 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_213,meningeal_thickening,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_214,met_amplification_status,,consistent,Modifier rank 15 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_215,metabolic_response,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_216,metastasis_location,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_217,morphine_administered,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_218,mri_flair_hyperintensity_presence,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_219,msi_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_220,mucositis_presence,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_221,myelosuppression,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_222,myocardial_infarction_presence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_223,n_stage,,consistent,Modifier rank 22 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_224,napsin_a_expression,,consistent,Modifier rank 25 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_225,nausea_severity,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_226,necrotic_fluid_presence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_227,neurological_symptoms_presence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_228,neutrophil_to_lymphocyte_ratio,effect_modifier,consistent,Highest combined magnitude across R-learner and Causal Forest; distinct inflammatory signal.,multi:outer_001_feature_228:causal_forest:effect;multi:outer_001_feature_228:univariable_rlearner:effect
outer_001_feature_229,night_sweats,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_230,nsclc_diagnosis,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_231,nyha_class,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_232,occupation,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_233,oncology_management_status,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_234,ondansetron_use,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_235,optic_chiasm_enhancement,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_236,optic_nerve_enhancement,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_237,orbital_fat_appearance,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_238,organomegaly_presence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_239,osteoarthritis_presence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_240,osteopenia,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_241,oxygen_saturation,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_242,oxygen_therapy_use,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_243,p40_expression,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_244,paclitaxel_dose,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_245,pain_severity,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_246,palliative_care_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_247,patient_wishes,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_248,pd_l1_tps,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_249,pembrolizumab_dose,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_250,peripheral_neuropathy_grade,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_251,peritumoral_edema,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
